City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,markova,0,RU,1525824000,80,52.21,104.21,35.6,8.95
324,izhmorskiy,0,RU,1525825753,99,56.19,86.64,27.38,9.19
325,khartoum,0,SD,1525824000,8,15.59,32.54,89.6,13.87
326,gourcy,0,BF,1525825753,30,13.21,-2.36,81.47,5.95
327,aswan,0,EG,1525820400,13,24.09,32.9,78.8,5.82
328,esperance,75,TT,1525820400,94,10.24,-61.45,75.2,14.99
329,sinnamary,92,GF,1525825755,100,5.38,-52.96,76.61,8.19
330,denpasar,0,ID,1525825755,97,-8.65,115.22,73.19,2.26
331,bhadra,12,IN,1525825755,80,29.1,75.17,68.06,2.82
332,mount isa,0,AU,1525824000,26,-20.73,139.49,80.6,9.17
333,dryden,90,CA,1525820400,37,49.79,-92.84,53.6,5.82
334,cowra,0,AU,1525825756,92,-33.84,148.69,59.33,3.94
335,rincon,1,US,1525824900,77,32.3,-81.24,80.6,4.16
336,tombouctou,0,ML,1525825757,30,16.77,-3.01,76.61,5.84
337,banes,75,CU,1525823400,88,20.96,-75.72,75.2,3.36
338,rebrikha,92,RU,1525825757,99,53.08,82.34,38.36,9.64
339,kyzyl-suu,48,KG,1525825758,100,42.34,78.0,38.72,2.48
340,khilok,0,RU,1525825758,74,51.36,110.46,35.84,8.19
341,san policarpo,0,PH,1525825758,93,12.18,125.51,83.27,4.94
342,baikunthpur,0,IN,1525825759,61,23.26,82.56,70.94,5.95
343,chuy,92,UY,1525825759,87,-33.69,-53.46,67.88,13.67
344,manakara,88,MG,1525825759,100,-22.14,48.01,72.11,4.72
345,kamenka,0,RU,1525825760,76,53.19,44.05,50.96,2.71
346,melville,1,CA,1525820400,19,50.93,-102.81,69.8,3.36
347,san cristobal,90,EC,1525824000,76,-0.39,-78.55,57.2,2.24
348,sayyan,0,YE,1525825761,77,15.17,44.32,43.58,1.36
349,ullapool,80,GB,1525825761,94,57.9,-5.16,47.36,15.68
350,bundaberg,0,AU,1525825761,100,-24.87,152.35,69.86,9.64
351,andros town,75,BS,1525820400,78,24.73,-77.79,78.8,6.93
352,surt,8,LY,1525825762,72,31.21,16.59,69.77,17.13
353,simao,8,CN,1525825762,81,22.76,100.79,68.51,2.59
354,lompoc,1,US,1525823760,68,34.64,-120.46,64.4,18.34
355,harur,32,IN,1525825763,97,12.06,78.48,70.76,2.59
356,westport,92,IE,1525825764,88,53.8,-9.52,49.07,13.22
357,porec,24,HR,1525824000,52,45.23,13.59,64.4,5.82
358,mersing,0,MY,1525825764,94,2.43,103.84,80.39,5.61
359,airai,0,TL,1525825765,72,-8.93,125.41,74.99,1.7
360,cap-aux-meules,20,CA,1525820400,57,47.38,-61.86,51.8,17.22
361,prescott,1,US,1525823580,7,34.54,-112.47,87.8,12.75
362,tondi,0,NG,1525825766,64,10.88,4.75,83.27,10.76
363,nouakchott,0,MR,1525825766,90,18.08,-15.98,68.24,20.49
364,ucluelet,90,CA,1525820400,82,48.94,-125.55,57.2,4.7
365,saint pete beach,1,US,1525823760,48,27.73,-82.74,82.4,10.29
366,cabedelo,40,BR,1525824000,88,-6.97,-34.84,77.0,3.36
367,argayash,40,RU,1525824000,87,55.49,60.88,46.4,6.71
368,ostersund,24,SE,1525823400,81,63.18,14.64,46.4,11.41
369,taltal,44,CL,1525825768,89,-25.41,-70.49,55.37,2.48
370,san patricio,20,PY,1525825769,66,-26.98,-56.83,76.61,4.72
371,hongjiang,92,CN,1525825769,90,27.21,109.83,63.92,4.16
372,iskateley,0,RU,1525825769,70,67.68,53.15,13.61,9.08
373,zyryanka,64,RU,1525825770,70,65.73,150.89,33.5,5.28
374,ancud,0,CL,1525825770,85,-41.87,-73.83,44.57,3.38
375,yatou,40,CM,1525824000,100,3.63,9.81,73.4,1.12
376,torbay,5,CA,1525820400,41,47.66,-52.73,41.0,14.99
377,ponta do sol,92,BR,1525825771,53,-20.63,-46.0,72.65,7.18
378,kaduna,0,NG,1525825771,67,10.52,7.44,78.41,10.76
379,chipurupalle,68,IN,1525825772,97,18.32,83.57,74.81,2.37
380,mahebourg,40,MU,1525824000,78,-20.41,57.7,75.2,5.82
381,hualmay,24,PE,1525825772,93,-11.1,-77.61,66.89,3.38
382,fandriana,92,MG,1525825773,98,-20.24,47.38,59.87,2.71
383,bilma,0,NE,1525825773,22,18.69,12.92,74.99,4.16
384,soligalich,0,RU,1525825773,69,59.08,42.29,39.44,11.32
385,tautira,75,PF,1525824000,74,-17.73,-149.15,82.4,10.29
